YuiMedalShopItemId,YuiMedalShopId,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
27,27,1,102000260,1,0,1,0,0,1,0,0,2,0,0,2,0,0
28,28,1,103000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
29,29,1,104000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
30,30,1,105000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
31,31,1,106000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
32,32,1,107000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
33,33,1,108000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
34,34,1,109000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
35,35,1,110000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
36,36,1,111000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
37,37,1,112000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
38,38,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
39,39,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
40,40,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
41,41,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
42,42,3,170005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
43,43,3,180005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
44,44,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
45,45,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
46,46,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
47,47,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
48,48,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
49,49,3,190000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
50,50,3,200000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
51,51,3,210000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
52,52,1,103000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
53,53,1,111000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
54,54,1,107000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
55,55,1,108000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
56,56,8,201000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
57,57,8,299000440,1,0,1,0,0,1,0,0,1,0,0,1,0,0
58,58,8,299000450,1,0,1,0,0,1,0,0,1,0,0,1,0,0
59,59,8,299000460,1,0,1,0,0,1,0,0,1,0,0,1,0,0
60,60,8,299000470,1,0,1,0,0,1,0,0,1,0,0,1,0,0
61,61,8,299000480,1,0,1,0,0,1,0,0,1,0,0,1,0,0
62,62,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
63,63,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
64,64,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
65,65,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
66,66,3,170005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
67,67,3,180005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
68,68,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
69,69,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
70,70,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
71,71,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
72,72,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
73,73,3,190000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
74,74,3,200000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
75,75,3,210000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
76,76,2,101000018,1,0,1,0,0,1,0,0,2,0,0,2,0,0
77,77,2,102000009,1,0,1,0,0,1,0,0,2,0,0,2,0,0
78,78,2,111000008,1,0,1,0,0,1,0,0,2,0,0,2,0,0
79,79,8,202000160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
80,80,8,203000150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
81,81,8,204000110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
82,82,8,205000110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
83,83,8,206000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
84,84,8,212000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
85,85,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
86,86,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
87,87,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
88,88,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
89,89,3,170005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
90,90,3,180005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
91,91,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
92,92,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
93,93,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
94,94,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
95,95,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
96,96,3,190000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
97,97,3,200000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
98,98,3,210000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
99,99,1,109000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
100,100,8,299000550,1,0,1,0,0,1,0,0,1,0,0,1,0,0
101,101,8,299000560,1,0,1,0,0,1,0,0,1,0,0,1,0,0
102,102,8,299000570,1,0,1,0,0,1,0,0,1,0,0,1,0,0
103,103,8,299000580,1,0,1,0,0,1,0,0,1,0,0,1,0,0
104,104,8,299000590,1,0,1,0,0,1,0,0,1,0,0,1,0,0
105,105,8,299000600,1,0,1,0,0,1,0,0,1,0,0,1,0,0
106,106,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
107,107,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
108,108,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
109,109,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
110,110,3,170005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
111,111,3,180005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
112,112,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
113,113,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
114,114,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
115,115,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
116,116,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
117,117,3,190000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
118,118,3,200000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
119,119,3,210000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
120,120,1,110000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
121,121,3,110060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
122,122,3,110070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
123,123,3,110080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
124,124,3,110090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
125,125,3,110100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
126,126,3,110110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
127,127,3,110120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
128,128,3,110130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
129,129,3,110140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
130,130,3,110150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
131,131,3,110160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
132,132,3,110170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
133,133,3,110180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
134,134,1,109000240,1,0,1,0,0,1,0,0,2,0,0,2,0,0
135,135,1,108000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
136,136,1,110000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
137,137,1,118000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
138,138,1,101000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
139,139,1,101000300,1,0,1,0,0,1,0,0,2,0,0,2,0,0
140,140,1,102000360,1,0,1,0,0,1,0,0,2,0,0,2,0,0
141,141,1,103000310,1,0,1,0,0,1,0,0,2,0,0,2,0,0
142,142,1,104000370,1,0,1,0,0,1,0,0,2,0,0,2,0,0
143,143,1,109000290,1,0,1,0,0,1,0,0,2,0,0,2,0,0
144,144,8,211000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
145,145,8,299000610,1,0,1,0,0,1,0,0,1,0,0,1,0,0
146,146,8,299000620,1,0,1,0,0,1,0,0,1,0,0,1,0,0
147,147,8,299000630,1,0,1,0,0,1,0,0,1,0,0,1,0,0
148,148,8,299000640,1,0,1,0,0,1,0,0,1,0,0,1,0,0
149,149,8,299000650,1,0,1,0,0,1,0,0,1,0,0,1,0,0
150,150,1,111000080,1,0,1,0,0,1,0,0,2,0,0,2,0,0
151,151,1,112000080,1,0,1,0,0,1,0,0,2,0,0,2,0,0
152,152,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
153,153,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
154,154,3,170001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
155,155,3,180001,1,0,1,0,0,1,0,0,1,0,0,1,0,0
156,156,3,170005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
157,157,3,180005,1,0,1,0,0,1,0,0,1,0,0,1,0,0
158,158,3,140000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
159,159,3,150010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
160,160,3,150020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
161,161,3,150030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
162,162,3,150040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
163,163,3,190000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
164,164,3,200000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
165,165,3,210000,1,0,1,0,0,1,0,0,1,0,0,1,0,0
166,166,1,105000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
167,167,1,110000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
168,168,1,102000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
169,169,1,106000270,1,0,1,0,0,1,0,0,2,0,0,2,0,0
170,170,1,112000090,1,0,1,0,0,1,0,0,2,0,0,2,0,0
171,171,1,111000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
172,172,1,106000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
173,173,1,112000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
174,174,1,104000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
175,175,1,108000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
176,176,1,103000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
177,177,1,105000280,1,0,1,0,0,1,0,0,2,0,0,2,0,0
178,178,1,111000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
179,179,1,103000360,1,0,1,0,0,1,0,0,2,0,0,2,0,0
180,180,1,109000240,1,0,1,0,0,1,0,0,2,0,0,2,0,0
181,181,1,101000380,1,0,1,0,0,1,0,0,2,0,0,2,0,0
182,182,1,107000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
183,183,1,109000370,1,0,1,0,0,1,0,0,2,0,0,2,0,0
184,184,1,108000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
185,185,1,118000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
186,186,1,110000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
187,187,1,102000500,1,0,1,0,0,1,0,0,2,0,0,2,0,0
188,188,1,118000100,1,0,1,0,0,1,0,0,2,0,0,2,0,0
189,189,1,104000470,1,0,1,0,0,1,0,0,2,0,0,2,0,0
190,190,1,106000270,1,0,1,0,0,1,0,0,2,0,0,2,0,0
191,191,1,107000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
192,192,1,112000140,1,0,1,0,0,1,0,0,2,0,0,2,0,0
193,193,1,111000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
194,194,1,101000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
195,195,1,111000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
196,196,1,104000330,1,0,1,0,0,1,0,0,2,0,0,2,0,0
197,197,1,110000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
198,198,1,108000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
199,199,1,112000130,1,0,1,0,0,1,0,0,2,0,0,2,0,0
200,200,1,102000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
201,201,1,105000280,1,0,1,0,0,1,0,0,2,0,0,2,0,0
202,202,1,106000240,1,0,1,0,0,1,0,0,2,0,0,2,0,0
203,203,1,105000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
204,204,1,101000380,1,0,1,0,0,1,0,0,2,0,0,2,0,0
205,205,1,103000300,1,0,1,0,0,1,0,0,2,0,0,2,0,0
206,206,1,106000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
207,207,1,103000360,1,0,1,0,0,1,0,0,2,0,0,2,0,0
208,208,1,102000340,1,0,1,0,0,1,0,0,2,0,0,2,0,0
5000,5000,1,101000130,1,70,102600,30,0,1,0,0,2,0,0,2,0,0
5001,5001,1,102000120,1,70,101700,0,0,1,0,0,2,0,0,2,0,0
5002,5002,1,105000120,1,70,100500,100,0,1,0,0,2,0,0,2,0,0
5003,5003,1,109000110,1,70,102600,30,0,1,0,0,2,0,0,2,0,0
5004,5004,1,118000070,1,70,102600,30,0,1,0,0,2,0,0,2,0,0
5005,5005,1,110000110,1,70,100500,100,0,1,0,0,2,0,0,2,0,0
10000,10000,1,101000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10001,10001,1,102000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10002,10002,1,103000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10003,10003,1,104000260,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10004,10004,1,105000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10005,10005,1,106000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10006,10006,1,107000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10007,10007,1,108000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10008,10008,1,109000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10009,10009,1,110000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10010,10010,1,111000030,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10011,10011,1,112000030,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10012,10012,1,118000040,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10013,10013,2,101000002,1,0,202400,75,0,202400,75,0,2,0,0,99999,0,0
10014,10014,2,102000002,1,0,202600,50,0,202600,50,0,2,0,0,99999,0,0
10015,10015,2,101000004,1,0,200400,90,0,200400,90,0,2,0,0,2,0,0
10016,10016,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10017,10017,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
10018,10018,2,105000004,1,0,202700,50,0,204700,1,0,2,0,0,2,0,0
10019,10019,2,107000004,1,0,205600,0,0,1,0,0,2,0,0,2,0,0
10020,10020,2,108000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10021,10021,2,109000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10022,10022,2,111000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10023,10023,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10024,10024,2,112000004,1,0,305000,100,0,1,0,0,2,0,0,2,0,0
10025,10025,3,110060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10026,10026,3,110070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10027,10027,3,110080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10028,10028,3,110090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10029,10029,3,110100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10030,10030,3,110110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10031,10031,3,110120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10032,10032,3,110130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10033,10033,3,110140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10034,10034,3,110150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10035,10035,3,110160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10036,10036,3,110170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10037,10037,3,110180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10038,10038,1,101000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10039,10039,1,102000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10040,10040,1,103000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10041,10041,1,104000260,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10042,10042,1,105000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10043,10043,1,106000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10044,10044,1,107000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10045,10045,1,108000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10046,10046,1,109000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10047,10047,1,110000080,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10048,10048,1,111000030,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10049,10049,1,112000030,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10050,10050,1,118000040,1,70,100200,100,0,100300,100,0,100300,100,0,99999,0,0
10051,10051,2,101000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10052,10052,2,102000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10053,10053,2,103000004,1,70,204100,0,0,204800,5,0,2,0,0,2,0,0
10054,10054,2,105000004,1,70,202700,50,0,204700,1,0,2,0,0,2,0,0
10055,10055,2,107000004,1,70,205600,0,0,1,0,0,2,0,0,2,0,0
10056,10056,2,108000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10057,10057,2,109000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10058,10058,2,111000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10059,10059,2,115000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
10060,10060,2,112000004,1,70,305000,100,0,1,0,0,2,0,0,2,0,0
10061,10061,2,101000002,1,70,202400,75,0,202400,75,0,2,0,0,99999,0,0
10062,10062,2,102000002,1,70,202600,50,0,202600,50,0,2,0,0,99999,0,0
10063,10063,3,110060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10064,10064,3,110070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10065,10065,3,110080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10066,10066,3,110090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10067,10067,3,110100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10068,10068,3,110110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10069,10069,3,110120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10070,10070,3,110130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10071,10071,3,110140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10072,10072,3,110150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10073,10073,3,110160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10074,10074,3,110170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10075,10075,3,110180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10076,10076,3,120300,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10077,10077,3,120310,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10078,10078,3,120320,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10079,10079,3,120330,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10080,10080,3,120340,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10081,10081,3,120350,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10082,10082,3,120360,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10083,10083,3,120370,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10084,10084,3,120380,1,0,1,0,0,1,0,0,1,0,0,1,0,0
10085,10085,3,120390,1,0,1,0,0,1,0,0,1,0,0,1,0,0
15000,15000,1,101000190,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15001,15001,1,101000380,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15002,15002,1,102000210,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15003,15003,1,102000500,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15004,15004,1,103000230,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15005,15005,1,103000360,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15006,15006,1,104000230,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15007,15007,1,104000470,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15008,15008,1,105000160,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15009,15009,1,105000280,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15010,15010,1,106000180,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15011,15011,1,106000270,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15012,15012,1,107000150,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15013,15013,1,107000180,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15014,15014,1,108000160,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15015,15015,1,108000170,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15016,15016,1,109000240,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15017,15017,1,109000370,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15018,15018,1,110000150,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15019,15019,1,110000190,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15020,15020,1,111000160,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15021,15021,1,111000220,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15022,15022,1,112000090,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15023,15023,1,112000140,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15024,15024,1,118000100,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15025,15025,1,118000170,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15026,15026,1,101000340,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15027,15027,1,102000340,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15028,15028,1,102000550,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15029,15029,1,103000300,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15030,15030,1,103000420,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15031,15031,1,104000330,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15032,15032,1,104000430,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15033,15033,1,105000250,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15034,15034,1,105000390,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15035,15035,1,106000240,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15036,15036,1,106000330,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15037,15037,1,109000310,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15038,15038,1,110000220,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15039,15039,1,111000170,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15040,15040,1,112000130,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15041,15041,1,118000130,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15042,15042,1,118000210,1,1,1,0,0,1,0,0,2,0,0,2,0,0
15043,15043,2,101000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
15044,15044,2,102000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
15045,15045,2,103000004,1,70,204100,0,0,204800,5,0,2,0,0,2,0,0
15046,15046,2,105000004,1,70,202700,50,0,204700,1,0,2,0,0,2,0,0
15047,15047,2,107000004,1,70,205600,0,0,1,0,0,2,0,0,2,0,0
15048,15048,2,108000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
15049,15049,2,109000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
15050,15050,2,111000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
15051,15051,2,115000004,1,70,1,0,0,1,0,0,2,0,0,2,0,0
