RewardTableId,UnanalyzedLogGradeId,CommonRewardId,CommonRewardType
527,2,107000020,1
528,2,101000030,1
529,3,101000050,1
530,3,101000060,1
531,3,101000080,1
532,3,103000060,1
533,3,103000070,1
534,3,103000080,1
535,3,101000040,1
536,1,101000000,2
537,2,101000001,2
538,3,101000002,2
539,4,101000008,2
540,5,101000004,2
541,1,112000000,2
542,2,112000001,2
543,3,112000002,2
544,4,112000003,2
545,5,112000004,2
546,2,101000005,2
547,2,112000005,2
548,3,170000,3
549,4,170001,3
551,1,102000010,1
552,2,102000030,1
553,2,102000040,1
554,2,104000020,1
555,3,102000060,1
556,3,102000070,1
557,3,102000080,1
558,3,103000050,1
559,3,105000050,1
560,1,102000000,2
561,2,102000001,2
562,3,102000002,2
563,4,102000003,2
564,5,102000004,2
565,1,112000000,2
566,2,112000001,2
567,3,112000002,2
568,4,112000003,2
569,5,112000004,2
570,3,170000,3
571,4,170001,3
573,1,106000010,1
574,2,106000030,1
575,2,106000040,1
576,2,105000020,1
577,3,106000060,1
578,3,106000070,1
579,3,106000080,1
580,3,101000070,1
581,1,103000000,2
582,2,103000001,2
583,3,103000002,2
584,4,103000003,2
585,5,103000004,2
586,1,112000000,2
587,2,112000001,2
588,3,112000002,2
589,4,112000003,2
590,5,112000004,2
591,3,170000,3
592,4,170001,3
594,1,104000010,1
595,2,104000030,1
596,2,104000040,1
597,2,108000020,1
598,3,104000060,1
599,3,104000070,1
600,3,104000080,1
601,3,102000050,1
602,1,111000000,2
603,2,111000001,2
604,3,111000002,2
605,4,111000003,2
606,5,111000004,2
607,1,120000000,2
608,2,120000001,2
609,3,120000002,2
610,4,120000003,2
611,5,120000004,2
612,1,110020,3
613,1,110030,3
614,1,110040,3
615,1,110050,3
616,3,110060,3
617,3,110070,3
618,3,110080,3
619,3,110090,3
620,3,110100,3
621,3,110110,3
622,3,110120,3
623,3,110130,3
624,3,110140,3
625,3,110150,3
626,3,110160,3
627,3,110170,3
628,3,110180,3
629,3,110190,3
630,3,110200,3
631,3,110210,3
632,3,110220,3
633,3,110230,3
634,3,110240,3
635,3,110250,3
636,3,110260,3
637,3,110270,3
639,1,107000010,1
640,2,107000030,1
641,2,107000040,1
642,2,101000020,1
643,3,107000060,1
644,3,107000070,1
645,3,107000080,1
646,3,108000050,1
647,1,105000000,2
648,2,105000001,2
649,3,105000002,2
650,4,105000003,2
651,5,105000004,2
652,1,120000000,2
653,2,120000001,2
654,3,120000002,2
655,4,120000003,2
656,5,120000004,2
657,3,180000,3
658,4,180001,3
660,1,105000010,1
661,2,105000030,1
662,2,105000040,1
663,2,102000020,1
664,2,103000020,1
665,3,105000060,1
666,3,105000070,1
667,3,105000080,1
668,3,104000050,1
669,3,106000050,1
670,1,109000000,2
671,2,109000001,2
672,3,109000002,2
673,4,109000003,2
674,5,109000004,2
675,1,112000000,2
676,2,112000001,2
677,3,112000002,2
678,4,112000003,2
679,5,112000004,2
680,1,120020,3
681,1,120030,3
682,1,120040,3
683,1,120050,3
684,3,120240,3
685,3,120250,3
686,3,120260,3
687,3,120270,3
688,3,120300,3
689,3,120310,3
690,3,120320,3
691,3,120330,3
692,3,120340,3
693,3,120350,3
694,3,120360,3
695,3,120370,3
696,3,120380,3
697,3,120390,3
698,3,120400,3
699,3,120410,3
700,3,120420,3
701,3,120430,3
702,3,120450,3
703,3,120460,3
705,1,108000010,1
706,2,108000030,1
707,2,108000040,1
708,2,106000020,1
709,3,108000060,1
710,3,108000070,1
711,3,108000080,1
712,3,107000050,1
713,1,108000000,2
714,2,108000001,2
715,3,108000002,2
716,4,108000003,2
717,5,108000004,2
718,1,120000000,2
719,2,120000001,2
720,3,120000002,2
721,4,120000003,2
722,5,120000004,2
723,1,130020,3
724,1,130030,3
725,1,130040,3
726,1,130050,3
727,3,130060,3
728,3,130070,3
729,3,130080,3
730,3,130090,3
731,3,130100,3
732,3,130110,3
733,3,130120,3
734,3,130130,3
735,3,130140,3
736,3,130150,3
737,3,130160,3
738,3,130170,3
739,3,130180,3
740,3,130190,3
741,3,130200,3
742,3,130420,3
743,3,130510,3
744,3,130520,3
745,3,130530,3
746,3,130540,3
748,1,105000010,1
749,2,105000030,1
750,2,105000040,1
751,2,102000020,1
752,2,103000020,1
753,3,105000060,1
754,3,105000070,1
755,3,105000080,1
756,3,104000050,1
757,3,106000050,1
758,1,109000000,2
759,2,109000001,2
760,3,109000002,2
761,4,109000003,2
762,5,109000004,2
763,1,112000000,2
764,2,112000001,2
765,3,112000002,2
766,4,112000003,2
767,5,112000004,2
768,3,170000,3
769,4,170001,3
771,1,104000010,1
772,2,104000030,1
773,2,104000040,1
774,2,108000020,1
775,3,104000060,1
776,3,104000070,1
777,3,104000080,1
778,3,102000050,1
779,1,111000000,2
780,2,111000001,2
781,3,111000002,2
782,4,111000003,2
783,5,111000004,2
784,1,120000000,2
785,2,120000001,2
786,3,120000002,2
787,4,120000003,2
788,5,120000004,2
789,1,110020,3
790,1,110030,3
791,1,110040,3
792,1,110050,3
793,3,110060,3
794,3,110070,3
795,3,110080,3
796,3,110090,3
797,3,110100,3
798,3,110110,3
799,3,110120,3
800,3,110130,3
801,3,110140,3
802,3,110150,3
803,3,110160,3
804,3,110170,3
805,3,110180,3
806,3,110190,3
807,3,110200,3
808,3,110210,3
809,3,110220,3
810,3,110230,3
811,3,110240,3
812,3,110250,3
813,3,110260,3
814,3,110270,3
816,1,102000010,1
817,2,102000030,1
818,2,102000040,1
819,2,104000020,1
820,3,102000060,1
821,3,102000070,1
822,3,102000080,1
823,3,103000050,1
824,3,105000050,1
825,1,102000000,2
826,2,102000001,2
827,3,102000002,2
828,4,102000003,2
829,5,102000004,2
830,1,112000000,2
831,2,112000001,2
832,3,112000002,2
833,4,112000003,2
834,5,112000004,2
835,3,170001,3
836,4,170002,3
838,1,102000010,1
839,2,102000030,1
840,2,102000040,1
841,2,104000020,1
842,3,102000060,1
843,3,102000070,1
844,3,102000080,1
845,3,103000050,1
846,3,105000050,1
847,1,102000000,2
848,2,102000001,2
849,3,102000002,2
850,4,102000003,2
851,5,102000004,2
852,1,112000000,2
853,2,112000001,2
854,3,112000002,2
855,4,112000003,2
856,5,112000004,2
857,1,110020,3
858,1,110030,3
859,1,110040,3
860,1,110050,3
861,2,110021,3
862,2,110031,3
863,2,110041,3
864,2,110051,3
865,3,110060,3
866,3,110070,3
867,3,110080,3
868,3,110090,3
869,3,110100,3
870,3,110110,3
871,3,110120,3
872,3,110130,3
873,3,110140,3
874,3,110150,3
875,3,110160,3
876,3,110170,3
877,3,110180,3
878,3,110190,3
879,3,110200,3
880,3,110210,3
881,3,110220,3
882,3,110230,3
883,3,110240,3
884,3,110250,3
885,3,110260,3
886,3,110270,3
887,4,140000,3
889,1,101000010,1
890,1,103000010,1
891,2,103000030,1
892,2,103000040,1
893,2,107000020,1
894,2,101000030,1
895,3,101000050,1
896,3,101000060,1
897,3,101000080,1
898,3,103000060,1
899,3,103000070,1
900,3,103000080,1
901,3,101000040,1
902,1,101000000,2
903,2,101000001,2
904,3,101000002,2
905,4,101000008,2
906,5,101000004,2
907,1,112000000,2
908,2,112000001,2
909,3,112000002,2
910,4,112000003,2
911,5,112000004,2
912,1,120020,3
913,1,120030,3
914,1,120040,3
915,1,120050,3
916,2,120021,3
917,2,120031,3
918,2,120041,3
919,2,120051,3
920,3,120240,3
921,3,120250,3
922,3,120260,3
923,3,120270,3
924,3,120300,3
925,3,120310,3
926,3,120320,3
927,3,120330,3
928,3,120340,3
929,3,120350,3
930,3,120360,3
931,3,120370,3
932,3,120380,3
933,3,120390,3
934,3,120400,3
935,3,120410,3
936,3,120420,3
937,3,120430,3
938,3,120450,3
939,3,120460,3
940,4,140000,3
942,1,106000010,1
943,2,106000030,1
944,2,106000040,1
945,2,105000020,1
946,3,106000060,1
947,3,106000070,1
948,3,106000080,1
949,3,101000070,1
950,1,103000000,2
951,2,103000001,2
952,3,103000002,2
953,4,103000003,2
954,5,103000004,2
955,1,112000000,2
956,2,112000001,2
957,3,112000002,2
958,4,112000003,2
959,5,112000004,2
960,3,180001,3
961,4,180002,3
963,1,101000010,1
964,1,103000010,1
965,2,103000030,1
966,2,103000040,1
967,2,107000020,1
968,2,101000030,1
969,3,101000050,1
970,3,101000060,1
971,3,101000080,1
972,3,103000060,1
973,3,103000070,1
974,3,103000080,1
975,3,101000040,1
976,1,101000000,2
977,2,101000001,2
978,3,101000002,2
979,4,101000008,2
980,5,101000004,2
981,1,120000000,2
982,2,120000001,2
983,3,120000002,2
984,4,120000003,2
985,5,120000004,2
986,3,170001,3
987,4,170002,3
989,1,105000010,1
990,2,105000030,1
991,2,105000040,1
992,2,102000020,1
993,2,103000020,1
994,3,105000060,1
995,3,105000070,1
996,3,105000080,1
997,3,104000050,1
998,3,106000050,1
999,1,109000000,2
1000,2,109000001,2
1001,3,109000002,2
1002,4,109000003,2
1003,5,109000004,2
1004,1,112000000,2
1005,2,112000001,2
1006,3,112000002,2
1007,4,112000003,2
1008,5,112000004,2
1009,1,130020,3
1010,1,130030,3
1011,1,130040,3
1012,1,130050,3
1013,2,130021,3
1014,2,130031,3
1015,2,130041,3
1016,2,130051,3
1017,3,130060,3
1018,3,130070,3
1019,3,130080,3
1020,3,130090,3
1021,3,130100,3
1022,3,130110,3
1023,3,130120,3
1024,3,130130,3
1025,3,130140,3
1026,3,130150,3
1027,3,130160,3
1028,3,130170,3
1029,3,130180,3
1030,3,130190,3
1031,3,130200,3
1032,3,130420,3
1033,3,130510,3
1034,3,130520,3
1035,3,130530,3
1036,3,130540,3
1037,4,140000,3
1039,1,107000010,1
1040,2,107000030,1
1041,2,107000040,1
1042,2,101000020,1
1043,3,107000060,1
1044,3,107000070,1
1045,3,107000080,1
1046,3,108000050,1
1047,1,105000000,2
1048,2,105000001,2
1049,3,105000002,2
1050,4,105000003,2
1051,5,105000004,2
1052,1,120000000,2
1053,2,120000001,2
1054,3,120000002,2
1055,4,120000003,2
1056,5,120000004,2
1057,1,120020,3
1058,1,120030,3
1059,1,120040,3
1060,1,120050,3
1061,2,120021,3
1062,2,120031,3
1063,2,120041,3
1064,2,120051,3
1065,3,120240,3
1066,3,120250,3
1067,3,120260,3
1068,3,120270,3
1069,3,120300,3
1070,3,120310,3
1071,3,120320,3
1072,3,120330,3
1073,3,120340,3
1074,3,120350,3
1075,3,120360,3
1076,3,120370,3
1077,3,120380,3
1078,3,120390,3
1079,3,120400,3
1080,3,120410,3
1081,3,120420,3
1082,3,120430,3
1083,3,120450,3
1084,3,120460,3
1085,4,140000,3
1087,1,108000010,1
1088,2,108000030,1
1089,2,108000040,1
1090,2,106000020,1
1091,3,108000060,1
1092,3,108000070,1
1093,3,108000080,1
1094,3,107000050,1
1095,1,108000000,2
1096,2,108000001,2
1097,3,108000002,2
1098,4,108000003,2
1099,5,108000004,2
1100,1,120000000,2
1101,2,120000001,2
1102,3,120000002,2
1103,4,120000003,2
1104,5,120000004,2
1105,3,170001,3
1106,4,170002,3
1108,1,101000010,1
1109,1,103000010,1
1110,2,103000030,1
1111,2,103000040,1
1112,2,107000020,1
1113,2,101000030,1
1114,3,101000050,1
1115,3,101000060,1
1116,3,101000080,1
1117,3,103000060,1
1118,3,103000070,1
1119,3,103000080,1
1120,3,101000040,1
1121,1,101000000,2
1122,2,101000001,2
1123,3,101000002,2
1124,4,101000008,2
1125,5,101000004,2
1126,1,112000000,2
1127,2,112000001,2
1128,3,112000002,2
1129,4,112000003,2
1130,5,112000004,2
1131,2,101000005,2
1132,2,112000005,2
1133,3,170001,3
1134,4,170002,3
1136,1,102000010,1
1137,2,102000030,1
1138,2,102000040,1
1139,2,104000020,1
1140,3,102000060,1
1141,3,102000070,1
1142,3,102000080,1
1143,3,103000050,1
1144,3,105000050,1
1145,1,102000000,2
1146,2,102000001,2
1147,3,102000002,2
1148,4,102000003,2
1149,5,102000004,2
1150,1,112000000,2
1151,2,112000001,2
1152,3,112000002,2
1153,4,112000003,2
1154,5,112000004,2
1155,1,120020,3
1156,1,120030,3
1157,1,120040,3
1158,1,120050,3
1159,2,120021,3
1160,2,120031,3
1161,2,120041,3
1162,2,120051,3
1163,3,120240,3
1164,3,120250,3
1165,3,120260,3
1166,3,120270,3
1167,3,120300,3
1168,3,120310,3
1169,3,120320,3
1170,3,120330,3
1171,3,120340,3
1172,3,120350,3
1173,3,120360,3
1174,3,120370,3
1175,3,120380,3
1176,3,120390,3
1177,3,120400,3
1178,3,120410,3
1179,3,120420,3
1180,3,120430,3
1181,3,120450,3
1182,3,120460,3
1183,4,140000,3
1185,2,104000030,1
1186,2,104000040,1
1187,2,108000020,1
1188,3,104000060,1
1189,3,104000070,1
1190,3,104000080,1
1191,3,102000050,1
1192,4,104000100,1
1193,4,104000110,1
1194,4,107000090,1
1195,1,111000000,2
1196,2,111000001,2
1197,3,111000002,2
1198,4,111000003,2
1199,5,111000004,2
1200,1,120000000,2
1201,2,120000001,2
1202,3,120000002,2
1203,4,120000003,2
1204,5,120000004,2
1205,3,170002,3
1206,4,170003,3
1208,2,104000030,1
1209,2,104000040,1
1210,2,108000020,1
1211,3,104000060,1
1212,3,104000070,1
1213,3,104000080,1
1214,3,102000050,1
1215,4,104000100,1
1216,4,104000110,1
1217,4,107000090,1
1218,1,111000000,2
1219,2,111000001,2
1220,3,111000002,2
1221,4,111000003,2
1222,5,111000004,2
1223,1,120000000,2
1224,2,120000001,2
1225,3,120000002,2
1226,4,120000003,2
1227,5,120000004,2
1228,1,110020,3
1229,1,110030,3
1230,1,110040,3
1231,1,110050,3
1232,2,110021,3
1233,2,110031,3
1234,2,110041,3
1235,2,110051,3
1236,3,110022,3
1237,3,110032,3
1238,3,110042,3
1239,3,110052,3
1240,3,110060,3
1241,3,110070,3
1242,3,110080,3
1243,3,110090,3
1244,3,110100,3
1245,3,110110,3
1246,3,110120,3
1247,3,110130,3
1248,3,110140,3
1249,3,110150,3
1250,3,110160,3
1251,3,110170,3
1252,3,110180,3
1253,3,110190,3
1254,3,110200,3
1255,3,110210,3
1256,3,110220,3
1257,3,110230,3
1258,3,110240,3
1259,3,110250,3
1260,3,110260,3
1261,3,110270,3
1262,4,140000,3
1264,2,105000030,1
1265,2,105000040,1
1266,2,102000020,1
1267,2,103000020,1
1268,3,105000060,1
1269,3,105000070,1
1270,3,105000080,1
1271,3,104000050,1
1272,3,106000050,1
1273,4,105000100,1
1274,4,105000110,1
1275,4,108000090,1
1276,1,109000000,2
1277,2,109000001,2
1278,3,109000002,2
1279,4,109000003,2
1280,5,109000004,2
1281,1,112000000,2
1282,2,112000001,2
1283,3,112000002,2
1284,4,112000003,2
1285,5,112000004,2
1286,3,170002,3
1287,4,170003,3
1289,2,106000030,1
1290,2,106000040,1
1291,2,105000020,1
1292,3,106000060,1
1293,3,106000070,1
1294,3,106000080,1
1295,3,101000070,1
1296,4,106000100,1
1297,4,106000110,1
1298,4,104000090,1
1299,1,103000000,2
1300,2,103000001,2
1301,3,103000002,2
1302,4,103000003,2
1303,5,103000004,2
1304,1,112000000,2
1305,2,112000001,2
1306,3,112000002,2
1307,4,112000003,2
1308,5,112000004,2
1309,1,130020,3
1310,1,130030,3
1311,1,130040,3
1312,1,130050,3
1313,2,130021,3
1314,2,130031,3
1315,2,130041,3
1316,2,130051,3
1317,3,130022,3
1318,3,130032,3
1319,3,130042,3
1320,3,130052,3
1321,3,130060,3
1322,3,130070,3
1323,3,130080,3
1324,3,130090,3
1325,3,130100,3
1326,3,130110,3
1327,3,130120,3
1328,3,130130,3
1329,3,130140,3
1330,3,130150,3
1331,3,130160,3
1332,3,130170,3
1333,3,130180,3
1334,3,130190,3
1335,3,130200,3
1336,3,130420,3
1337,3,130510,3
1338,3,130520,3
1339,3,130530,3
1340,3,130540,3
1341,4,140000,3
1343,2,108000030,1
1344,2,108000040,1
1345,2,106000020,1
1346,3,108000060,1
1347,3,108000070,1
1348,3,108000080,1
1349,3,107000050,1
1350,4,108000100,1
1351,4,105000090,1
1352,1,108000000,2
1353,2,108000001,2
1354,3,108000002,2
1355,4,108000003,2
1356,5,108000004,2
1357,1,120000000,2
1358,2,120000001,2
1359,3,120000002,2
1360,4,120000003,2
1361,5,120000004,2
1362,1,120020,3
1363,1,120030,3
1364,1,120040,3
1365,1,120050,3
1366,2,120021,3
1367,2,120031,3
1368,2,120041,3
1369,2,120051,3
1370,3,120022,3
1371,3,120032,3
1372,3,120042,3
1373,3,120052,3
1374,3,120240,3
1375,3,120250,3
1376,3,120260,3
1377,3,120270,3
1378,3,120300,3
1379,3,120310,3
1380,3,120320,3
1381,3,120330,3
1382,3,120340,3
1383,3,120350,3
1384,3,120360,3
1385,3,120370,3
1386,3,120380,3
1387,3,120390,3
1388,3,120400,3
1389,3,120410,3
1390,3,120420,3
1391,3,120430,3
1392,3,120450,3
1393,3,120460,3
1394,4,140000,3
1396,2,103000030,1
1397,2,103000040,1
1398,2,107000020,1
1399,2,101000030,1
1400,3,101000050,1
1401,3,101000060,1
1402,3,101000080,1
1403,3,103000060,1
1404,3,103000070,1
1405,3,103000080,1
1406,3,101000040,1
1407,4,101000090,1
1408,4,102000090,1
1409,4,103000100,1
1410,4,101000100,1
1411,4,101000110,1
1412,1,101000000,2
1413,2,101000001,2
1414,3,101000002,2
1415,4,101000008,2
1416,5,101000004,2
1417,1,120000000,2
1418,2,120000001,2
1419,3,120000002,2
1420,4,120000003,2
1421,5,120000004,2
1422,3,170002,3
1423,4,170003,3
1425,2,105000030,1
1426,2,105000040,1
1427,2,102000020,1
1428,2,103000020,1
1429,3,105000060,1
1430,3,105000070,1
1431,3,105000080,1
1432,3,104000050,1
1433,3,106000050,1
1434,4,105000100,1
1435,4,105000110,1
1436,4,108000090,1
1437,1,109000000,2
1438,2,109000001,2
1439,3,109000002,2
1440,4,109000003,2
1441,5,109000004,2
1442,1,112000000,2
1443,2,112000001,2
1444,3,112000002,2
1445,4,112000003,2
1446,5,112000004,2
1447,3,180002,3
1448,4,180003,3
1450,2,107000030,1
1451,2,107000040,1
1452,2,101000020,1
1453,3,107000060,1
1454,3,107000070,1
1455,3,107000080,1
1456,3,108000050,1
1457,4,107000100,1
1458,4,103000090,1
1459,1,105000000,2
1460,2,105000001,2
1461,3,105000002,2
1462,4,105000003,2
1463,5,105000004,2
1464,1,120000000,2
1465,2,120000001,2
1466,3,120000002,2
1467,4,120000003,2
1468,5,120000004,2
1469,3,170002,3
1470,4,170003,3
1472,2,104000030,1
1473,2,104000040,1
1474,2,108000020,1
1475,3,104000060,1
1476,3,104000070,1
1477,3,104000080,1
1478,3,102000050,1
1479,4,104000100,1
1480,4,104000110,1
1481,4,107000090,1
1482,1,111000000,2
1483,2,111000001,2
1484,3,111000002,2
1485,4,111000003,2
1486,5,111000004,2
1487,1,120000000,2
1488,2,120000001,2
1489,3,120000002,2
1490,4,120000003,2
1491,5,120000004,2
1492,1,110020,3
1493,1,110030,3
1494,1,110040,3
1495,1,110050,3
1496,2,110021,3
1497,2,110031,3
1498,2,110041,3
1499,2,110051,3
1500,3,110022,3
1501,3,110032,3
1502,3,110042,3
1503,3,110052,3
1504,3,110060,3
1505,3,110070,3
1506,3,110080,3
1507,3,110090,3
1508,3,110100,3
1509,3,110110,3
1510,3,110120,3
1511,3,110130,3
1512,3,110140,3
1513,3,110150,3
1514,3,110160,3
1515,3,110170,3
1516,3,110180,3
1517,3,110190,3
1518,3,110200,3
1519,3,110210,3
1520,3,110220,3
1521,3,110230,3
1522,3,110240,3
1523,3,110250,3
1524,3,110260,3
1525,3,110270,3
1526,4,140000,3
1528,2,108000030,1
1529,2,108000040,1
1530,2,106000020,1
1531,3,108000060,1
1532,3,108000070,1
1533,3,108000080,1
1534,3,107000050,1
1535,4,108000100,1
1536,4,105000090,1
1537,1,108000000,2
1538,2,108000001,2
1539,3,108000002,2
1540,4,108000003,2
1541,5,108000004,2
1542,1,120000000,2
1543,2,120000001,2
1544,3,120000002,2
1545,4,120000003,2
1546,5,120000004,2
1547,3,170002,3
1548,4,170003,3
1550,2,103000030,1
1551,2,103000040,1
1552,2,107000020,1
1553,2,101000030,1
1554,3,101000050,1
1555,3,101000060,1
1556,3,101000080,1
1557,3,103000060,1
1558,3,103000070,1
1559,3,103000080,1
1560,3,101000040,1
1561,4,101000090,1
