HeroLogId,CharaId,Name,Nickname,Rarity,WeaponTypeId,HeroLogRoleId,CostumeTypeId,UnitId,DefaultEquipmentId1,DefaultEquipmentId2,SkillTableSubId,HpMin,HpMax,StrMin,StrMax,VitMin,VitMax,IntMin,IntMax,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2,FlavorText,SalePrice,CompositionExp,AwakeningExp,Slot4UnlockLevel,Slot5UnlockLevel,CutinImage,CutinImageAwake,CutinUpperSideText,CharaCommentImage,CharaCommentImageAwake,QuestStartIntroduce,QuestStartIntroduceAwake,QuestCharaIcon,QuestCharaIconAwake,QuestCharaIconLoss,QuestCharaIconAwakeLoss,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag,DateVersionId,
101000120,1,"キリト","心頼の誓い",5,1,4,0,101000120,201000000,-1,101000120,1800,181440,216,21774,90,9070,180,18140,1,0,0,1,0,0,2,0,0,2,0,0,"数多の闘いを経て【心頼】できる<br>仲間を得た黒の剣士。その表情に<br>かつての影は見えない。",1600,20000,100,10,20,"hlog_101000120_kir_5_01_oha","hlog_101000121_kir_5_01_oha",False,"Chara_comment/101000120","Chara_comment/101000121","101000120_cha","101000121_cha","Chara_icon/101000120","Chara_icon/101000121","Chara_icon_loss/101000120","Chara_icon_loss/101000121","2019/01/01",True,"1",
101000130,1,"キリト","神域の双剣使い",5,2,1,0,101000130,201000000,201000000,101000130,1440,145150,258,26130,70,7260,180,18140,1,0,0,1,0,0,2,0,0,2,0,0,"ユニークスキル《二刀流》。SAO<br>で当スキルを保持することは、<br>SAO内最高の反応速度を持つプレ<br>イヤーであることを表している。",1600,20000,100,10,20,"hlog_101000130_kir_5_01_nit","hlog_101000131_kir_5_01_nit",False,"Chara_comment/101000130","Chara_comment/101000131","101000130_cha","101000131_cha","Chara_icon/101000130","Chara_icon/101000131","Chara_icon_loss/101000130","Chara_icon_loss/101000131","2019/01/01",True,"1",
101000140,1,"キリト","静穏の笑み",4,2,4,0,101000140,201000000,201000000,101000140,1600,161280,192,19356,80,8065,160,16130,1,0,0,1,0,0,2,0,0,2,0,0,"ALOにて記録された一枚。激しい<br>闘いを終えた後、心を許した仲間<br>だけに見せる、黒の剣士の束の間<br>の表情。",800,10000,100,10,20,"hlog_101000140_kir_4_01_nit","hlog_101000140_kir_4_01_nit",False,"Chara_comment/101000140","Chara_comment/101000140","101000140_cha","101000140_cha","Chara_icon/101000140","Chara_icon/101000140","Chara_icon_loss/101000140","Chara_icon_loss/101000140","2019/01/01",True,"1",
102000010,2,"アスナ","煌輝の光影",1,3,3,0,102000010,202000000,-1,102000010,810,81650,96,9678,40,4080,140,14520,1,0,0,1,0,0,99999,0,0,99999,0,0,"SAOにおいての記録。その容姿と<br>卓越した剣の腕から、彼女の名は<br>ギルド内のみならず多くのプレイ<br>ヤーに知られている。",100,1000,100,10,20,"hlog_102000010_asu_1_01_rap","hlog_102000010_asu_1_01_rap",False,"Chara_comment/102000010","Chara_comment/102000010","102000010_cha","102000010_cha","Chara_icon/102000010","Chara_icon/102000010","Chara_icon_loss/102000010","Chara_icon_loss/102000010","2019/01/01",True,"1",
102000020,2,"アスナ","ひだまりの笑顔",2,10,4,0,102000020,209000000,-1,102000020,1080,108860,144,14514,55,5445,140,14520,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOにおいての記録。その容姿と<br>卓越した剣の腕から、彼女の名は<br>ギルド内のみならず多くのプレイ<br>ヤーに知られている。",200,2000,100,10,20,"hlog_102000020_asu_2_01_mac","hlog_102000020_asu_2_01_mac",False,"Chara_comment/102000020","Chara_comment/102000020","102000020_cha","102000020_cha","Chara_icon/102000020","Chara_icon/102000020","Chara_icon_loss/102000020","Chara_icon_loss/102000020","2019/01/01",True,"1",
102000030,2,"アスナ","流水の如き剣",2,3,1,0,102000030,202000000,-1,102000030,860,87090,174,17418,45,4355,140,14520,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。SA<br>Oでの過酷な日々を共に乗り越え<br>てきた仲間は彼女にとってかけが<br>えのないものとなった。",200,2000,100,10,20,"hlog_102000030_asu_2_01_rap","hlog_102000030_asu_2_01_rap",False,"Chara_comment/102000030","Chara_comment/102000030","102000030_cha","102000030_cha","Chara_icon/102000030","Chara_icon/102000030","Chara_icon_loss/102000030","Chara_icon_loss/102000030","2019/01/01",True,"1",
102000040,2,"アスナ","煌きの蒼き妖精",2,3,3,0,102000040,202000000,-1,102000040,970,97980,114,11610,50,4900,170,17420,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。SA<br>Oでの過酷な日々を共に乗り越え<br>てきた仲間は彼女にとってかけが<br>えのないものとなった。",200,2000,100,10,20,"hlog_102000040_asu_2_01_rap","hlog_102000040_asu_2_01_rap",False,"Chara_comment/102000040","Chara_comment/102000040","102000040_cha","102000040_cha","Chara_icon/102000040","Chara_icon/102000040","Chara_icon_loss/102000040","Chara_icon_loss/102000040","2019/01/01",True,"1",
102000050,2,"アスナ","水閃の煌星",3,11,3,0,102000050,211000000,-1,102000050,1130,114310,132,13548,55,5715,200,20320,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。SA<br>Oでの過酷な日々を共に乗り越え<br>てきた仲間は彼女にとってかけが<br>えのないものとなった。",400,6000,100,10,20,"hlog_102000050_asu_3_01_bow","hlog_102000050_asu_3_01_bow",False,"Chara_comment/102000050","Chara_comment/102000050","102000050_cha","102000050_cha","Chara_icon/102000050","Chara_icon/102000050","Chara_icon_loss/102000050","Chara_icon_loss/102000050","2019/01/01",True,"1",
102000060,2,"アスナ","流光の剣戟",3,3,3,0,102000060,202000000,-1,102000060,1130,114310,132,13548,55,5715,200,20320,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。SA<br>Oでの過酷な日々を共に乗り越え<br>てきた仲間は彼女にとってかけが<br>えのないものとなった。",400,6000,100,10,20,"hlog_102000060_asu_3_01_rap","hlog_102000060_asu_3_01_rap",False,"Chara_comment/102000060","Chara_comment/102000060","102000060_cha","102000060_cha","Chara_icon/102000060","Chara_icon/102000060","Chara_icon_loss/102000060","Chara_icon_loss/102000060","2019/01/01",True,"1",
102000070,2,"アスナ","烈煌の剣閃",3,3,1,0,102000070,202000000,-1,102000070,1010,101610,204,20322,50,5080,170,16930,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOにおいての記録。その容姿と<br>卓越した剣の腕から、彼女の名は<br>ギルド内のみならず多くのプレイ<br>ヤーに知られている。",400,6000,100,10,20,"hlog_102000070_asu_3_01_rap","hlog_102000070_asu_3_01_rap",False,"Chara_comment/102000070","Chara_comment/102000070","102000070_cha","102000070_cha","Chara_icon/102000070","Chara_icon/102000070","Chara_icon_loss/102000070","Chara_icon_loss/102000070","2019/01/01",True,"1",
102000080,2,"アスナ","一条の閃光",3,3,4,0,102000080,202000000,-1,102000080,1260,127010,168,16932,65,6350,170,16930,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOにおいての記録。その容姿と<br>卓越した剣の腕から、彼女の名は<br>ギルド内のみならず多くのプレイ<br>ヤーに知られている。",400,6000,100,10,20,"hlog_102000080_asu_3_01_rap","hlog_102000080_asu_3_01_rap",False,"Chara_comment/102000080","Chara_comment/102000080","102000080_cha","102000080_cha","Chara_icon/102000080","Chara_icon/102000080","Chara_icon_loss/102000080","Chara_icon_loss/102000080","2019/01/01",True,"1",
102000090,2,"アスナ","慈愛の閃き",4,1,4,0,102000090,201000000,-1,102000090,1440,145150,192,19356,70,7260,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"強さと優しさを併せ持つ彼女の存<br>在感は、ある意味ではギルドマス<br>ター以上であったと推測される。",800,10000,100,10,20,"hlog_102000090_asu_4_01_oha","hlog_102000090_asu_4_01_oha",False,"Chara_comment/102000090","Chara_comment/102000090","102000090_cha","102000090_cha","Chara_icon/102000090","Chara_icon/102000090","Chara_icon_loss/102000090","Chara_icon_loss/102000090","2019/01/01",True,"1",
102000100,2,"アスナ","麗しき笑み",4,3,4,0,102000100,202000000,-1,102000100,1440,145150,192,19356,70,7260,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"ALOで過ごす平穏な日々と仲間た<br>ちは、彼女に本来の明るさを取り<br>戻させた。",800,10000,100,10,20,"hlog_102000100_asu_4_01_rap","hlog_102000100_asu_4_01_rap",False,"Chara_comment/102000100","Chara_comment/102000100","102000100_cha","102000100_cha","Chara_icon/102000100","Chara_icon/102000100","Chara_icon_loss/102000100","Chara_icon_loss/102000100","2019/01/01",True,"1",
102000110,2,"アスナ","まどろみの隣人",4,3,1,0,102000110,202000000,-1,102000110,1150,116120,228,23226,60,5805,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"Unknownにて記録された一枚。<br>仲間と過ごす穏やかな時間。仮想<br>と現実の違いは、彼女にとっては<br>意味をなさない。",800,10000,100,10,20,"hlog_102000110_asu_4_01_rap","hlog_102000110_asu_4_01_rap",False,"Chara_comment/102000110","Chara_comment/102000110","102000110_cha","102000110_cha","Chara_icon/102000110","Chara_icon/102000110","Chara_icon_loss/102000110","Chara_icon_loss/102000110","2019/01/01",True,"1",
102000120,2,"アスナ","流麗なる剣士",5,3,3,0,102000120,202000000,-1,102000120,1460,146970,174,17418,75,7350,260,26130,1,0,0,1,0,0,2,0,0,2,0,0,"ウンディーネは回復役を得意とす<br>る種族だが、最前線にて時折見せ<br>る鋭く激しい剣技はSAOのそれを<br>想起させる。",1600,20000,100,10,20,"hlog_102000120_asu_5_01_rap","hlog_102000121_asu_5_01_rap",False,"Chara_comment/102000120","Chara_comment/102000121","102000120_cha","102000121_cha","Chara_icon/102000120","Chara_icon/102000121","Chara_icon_loss/102000120","Chara_icon_loss/102000121","2019/01/01",True,"1",
102000130,2,"アスナ","閃耀の刺突",5,3,1,0,102000130,202000000,-1,102000130,1300,130640,258,26130,65,6530,220,21770,1,0,0,1,0,0,2,0,0,2,0,0,"SAOにて比類なきスピードと精確<br>な技を併せ持つ彼女はやがて<br>《閃光》の二つ名で呼ばれること<br>となった。",1600,20000,100,10,20,"hlog_102000130_asu_5_01_rap","hlog_102000131_asu_5_01_rap",False,"Chara_comment/102000130","Chara_comment/102000131","102000130_cha","102000131_cha","Chara_icon/102000130","Chara_icon/102000131","Chara_icon_loss/102000130","Chara_icon_loss/102000131","2019/01/01",True,"1",
102000140,2,"アスナ","情愛のまなざし",4,3,4,0,102000140,202000000,-1,102000140,1440,145150,192,19356,70,7260,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"ALOにて記録された一枚。愛情に<br>満ちたまなざし。たとえ仮想世界<br>にあっても、その感情は真実のも<br>のなのだろう。",800,10000,100,10,20,"hlog_102000140_asu_4_01_rap","hlog_102000140_asu_4_01_rap",False,"Chara_comment/102000140","Chara_comment/102000140","102000140_cha","102000140_cha","Chara_icon/102000140","Chara_icon/102000140","Chara_icon_loss/102000140","Chara_icon_loss/102000140","2019/01/01",True,"1",
103000010,3,"リーファ","翡翠の剣士",1,1,4,0,103000010,201000000,-1,103000010,1000,100800,120,12096,40,4030,120,12100,1,0,0,1,0,0,99999,0,0,99999,0,0,"ALO古参である彼女は、ALO最大<br>の特色である《フライト・システ<br>ム》を活用した戦闘において、卓<br>越した技能をもつ。",100,1000,100,10,20,"hlog_103000010_lea_1_01_oha","hlog_103000010_lea_1_01_oha",False,"Chara_comment/103000010","Chara_comment/103000010","103000010_cha","103000010_cha","Chara_icon/103000010","Chara_icon/103000010","Chara_icon_loss/103000010","Chara_icon_loss/103000010","2019/01/01",True,"1",
103000020,3,"リーファ","翠緑の剣影",2,10,4,0,103000020,209000000,-1,103000020,1200,120960,144,14514,50,4840,140,14520,1,0,0,1,0,0,2,0,0,99999,0,0,"ALOアバターを流用した特殊なア<br>クセスを敢行したため、彼女はSA<br>Oにあっても現実に即したアバタ<br>ーを持たなかった。",200,2000,100,10,20,"hlog_103000020_lea_2_01_mac","hlog_103000020_lea_2_01_mac",False,"Chara_comment/103000020","Chara_comment/103000020","103000020_cha","103000020_cha","Chara_icon/103000020","Chara_icon/103000020","Chara_icon_loss/103000020","Chara_icon_loss/103000020","2019/01/01",True,"1",
103000030,3,"リーファ","疾風の妖精",2,1,4,0,103000030,201000000,-1,103000030,1200,120960,144,14514,50,4840,140,14520,1,0,0,1,0,0,2,0,0,99999,0,0,"ALO古参である彼女は、ALO最大<br>の特色である《フライト・システ<br>ム》を活用した戦闘において、卓<br>越した技能をもつ。",200,2000,100,10,20,"hlog_103000030_lea_2_01_oha","hlog_103000030_lea_2_01_oha",False,"Chara_comment/103000030","Chara_comment/103000030","103000030_cha","103000030_cha","Chara_icon/103000030","Chara_icon/103000030","Chara_icon_loss/103000030","Chara_icon_loss/103000030","2019/01/01",True,"1",
103000040,3,"リーファ","颯の刃",2,1,1,0,103000040,201000000,-1,103000040,960,96770,174,17418,40,3870,140,14520,1,0,0,1,0,0,2,0,0,99999,0,0,"ALOアバターを流用した特殊なア<br>クセスを敢行したため、彼女はSA<br>Oにあっても現実に即したアバタ<br>ーを持たなかった。",200,2000,100,10,20,"hlog_103000040_lea_2_01_oha","hlog_103000040_lea_2_01_oha",False,"Chara_comment/103000040","Chara_comment/103000040","103000040_cha","103000040_cha","Chara_icon/103000040","Chara_icon/103000040","Chara_icon_loss/103000040","Chara_icon_loss/103000040","2019/01/01",True,"1",
103000050,3,"リーファ","春花の風剣",3,3,4,0,103000050,202000000,-1,103000050,1400,141120,168,16932,55,5645,170,16930,1,0,0,1,0,0,2,0,0,99999,0,0,"ALOアバターを流用した特殊なア<br>クセスを敢行したため、彼女はSA<br>Oにあっても現実に即したアバタ<br>ーを持たなかった。",400,6000,100,10,20,"hlog_103000050_lea_3_01_rap","hlog_103000050_lea_3_01_rap",False,"Chara_comment/103000050","Chara_comment/103000050","103000050_cha","103000050_cha","Chara_icon/103000050","Chara_icon/103000050","Chara_icon_loss/103000050","Chara_icon_loss/103000050","2019/01/01",True,"1",
103000060,3,"リーファ","迅速の嵐舞",3,1,4,0,103000060,201000000,-1,103000060,1400,141120,168,16932,55,5645,170,16930,1,0,0,1,0,0,2,0,0,99999,0,0,"ALOアバターを流用した特殊なア<br>クセスを敢行したため、彼女はSA<br>Oにあっても現実に即したアバタ<br>ーを持たなかった。",400,6000,100,10,20,"hlog_103000060_lea_3_01_oha","hlog_103000060_lea_3_01_oha",False,"Chara_comment/103000060","Chara_comment/103000060","103000060_cha","103000060_cha","Chara_icon/103000060","Chara_icon/103000060","Chara_icon_loss/103000060","Chara_icon_loss/103000060","2019/01/01",True,"1",
103000070,3,"リーファ","旋閃の疾刃",3,1,3,0,103000070,201000000,-1,103000070,1260,127010,132,13548,50,5080,200,20320,1,0,0,1,0,0,2,0,0,99999,0,0,"ALO古参である彼女は、ALO最大<br>の特色である《フライト・システ<br>ム》を活用した戦闘において、卓<br>越した技能をもつ。",400,6000,100,10,20,"hlog_103000070_lea_3_01_oha","hlog_103000070_lea_3_01_oha",False,"Chara_comment/103000070","Chara_comment/103000070","103000070_cha","103000070_cha","Chara_icon/103000070","Chara_icon/103000070","Chara_icon_loss/103000070","Chara_icon_loss/103000070","2019/01/01",True,"1",
103000080,3,"リーファ","薫風の瞳",3,1,4,0,103000080,201000000,-1,103000080,1400,141120,168,16932,55,5645,170,16930,1,0,0,1,0,0,2,0,0,99999,0,0,"ALO古参である彼女は、ALO最大<br>の特色である《フライト・システ<br>ム》を活用した戦闘において、卓<br>越した技能をもつ。",400,6000,100,10,20,"hlog_103000080_lea_3_01_oha","hlog_103000080_lea_3_01_oha",False,"Chara_comment/103000080","Chara_comment/103000080","103000080_cha","103000080_cha","Chara_icon/103000080","Chara_icon/103000080","Chara_icon_loss/103000080","Chara_icon_loss/103000080","2019/01/01",True,"1",
103000090,3,"リーファ","親密な微笑",4,6,3,0,103000090,205000000,-1,103000090,1440,145150,156,15480,60,5805,230,23220,1,0,0,1,0,0,2,0,0,2,0,0,"快活で愛想がよい彼女は自然と人<br>の心を緩ませる魅力を纏ってい<br>る。これはその記録の中の一枚。",800,10000,100,10,20,"hlog_103000090_lea_4_01_kat","hlog_103000090_lea_4_01_kat",True,"Chara_comment/103000090","Chara_comment/103000090","103000090_cha","103000090_cha","Chara_icon/103000090","Chara_icon/103000090","Chara_icon_loss/103000090","Chara_icon_loss/103000090","2019/01/01",True,"1",
103000100,3,"リーファ","清爽なる風",4,1,1,0,103000100,201000000,-1,103000100,1280,129020,228,23226,50,5160,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"剣道で培った腕と反応速度から<br>《シルフ五傑》の一人に数えられ<br>る程の技量を誇る。",800,10000,100,10,20,"hlog_103000100_lea_4_01_oha","hlog_103000100_lea_4_01_oha",False,"Chara_comment/103000100","Chara_comment/103000100","103000100_cha","103000100_cha","Chara_icon/103000100","Chara_icon/103000100","Chara_icon_loss/103000100","Chara_icon_loss/103000100","2019/01/01",True,"1",
103000110,3,"リーファ","爽風の笑み",5,1,3,0,103000110,201000000,-1,103000110,1620,163300,174,17418,65,6530,260,26130,1,0,0,1,0,0,2,0,0,2,0,0,"屈託の無い表情に反し、飛行速度<br>への飽くなき追及の姿勢は、周囲<br>をして彼女をスピードホリックと<br>呼ばせしめた。",1600,20000,100,10,20,"hlog_103000110_lea_5_01_oha","hlog_103000111_lea_5_01_oha",False,"Chara_comment/103000110","Chara_comment/103000111","103000110_cha","103000111_cha","Chara_icon/103000110","Chara_icon/103000111","Chara_icon_loss/103000110","Chara_icon_loss/103000111","2019/01/01",True,"1",
103000120,3,"リーファ","疾駆する剣閃",5,1,4,0,103000120,201000000,-1,103000120,1800,181440,216,21774,70,7260,220,21770,1,0,0,1,0,0,2,0,0,2,0,0,"SAOは魔法が存在しない剣の世界<br>だが、剣道を学ぶ彼女にとってそ<br>れはさほどの問題ではなかった。",1600,20000,100,10,20,"hlog_103000120_lea_5_01_oha","hlog_103000121_lea_5_01_oha",False,"Chara_comment/103000120","Chara_comment/103000121","103000120_cha","103000121_cha","Chara_icon/103000120","Chara_icon/103000121","Chara_icon_loss/103000120","Chara_icon_loss/103000121","2019/01/01",True,"1",
103000130,3,"リーファ","親愛の絆",4,1,4,0,103000130,201000000,-1,103000130,1600,161280,192,19356,65,6450,190,19350,1,0,0,1,0,0,2,0,0,2,0,0,"ALOにて記録された一枚。<br>特別の信頼を寄せたものだけに見<br>せる笑顔。",800,10000,100,10,20,"hlog_103000130_lea_4_01_oha","hlog_103000130_lea_4_01_oha",False,"Chara_comment/103000130","Chara_comment/103000130","103000130_cha","103000130_cha","Chara_icon/103000130","Chara_icon/103000130","Chara_icon_loss/103000130","Chara_icon_loss/103000130","2019/01/01",True,"1",
104000010,4,"シノン","必撃の妖精",1,11,4,0,104000010,211000000,-1,104000010,800,80640,132,13308,40,4030,110,11090,1,0,0,1,0,0,99999,0,0,99999,0,0,"弓の戦士シノン。扱う者が少数で<br>ある弓を用いること、またその腕<br>前においても、彼女は非凡な存在<br>感を放つ。",100,1000,100,10,20,"hlog_104000010_sin_1_01_bow","hlog_104000010_sin_1_01_bow",False,"Chara_comment/104000010","Chara_comment/104000010","104000010_cha","104000010_cha","Chara_icon/104000010","Chara_icon/104000010","Chara_icon_loss/104000010","Chara_icon_loss/104000010","2019/01/01",True,"1",
104000020,4,"シノン","信頼の微笑",2,3,1,0,104000020,202000000,-1,104000020,770,77410,192,19158,40,3870,130,13310,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOでは珍しい弓使い。75層以<br>下ではアクセス履歴が無いという<br>こともあり、謎の多いアバターで<br>ある。",200,2000,100,10,20,"hlog_104000020_sin_2_01_rap","hlog_104000020_sin_2_01_rap",False,"Chara_comment/104000020","Chara_comment/104000020","104000020_cha","104000020_cha","Chara_icon/104000020","Chara_icon/104000020","Chara_icon_loss/104000020","Chara_icon_loss/104000020","2019/01/01",True,"1",
