GashaMedalShopItemId,GashaMedalShopId,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
18009,18009,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18010,18010,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18011,18011,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18401,18401,1,102000170,1,0,101000,50,0,1,0,0,2,0,0,2,0,0
18402,18402,1,103000150,1,0,101000,50,0,1,0,0,2,0,0,2,0,0
18403,18403,1,104000160,1,0,101000,50,0,1,0,0,2,0,0,2,0,0
18404,18404,2,101000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18405,18405,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18406,18406,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18407,18407,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18408,18408,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18409,18409,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18410,18410,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18411,18411,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18501,18501,1,103000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18502,18502,1,104000290,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18503,18503,2,101000017,1,0,202500,50,0,1,0,0,2,0,0,2,0,0
18504,18504,2,111000007,1,0,210100,30,0,1,0,0,2,0,0,2,0,0
18505,18505,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18506,18506,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18507,18507,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18508,18508,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18509,18509,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18601,18601,8,202000170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18602,18602,8,204000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18603,18603,8,203000160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18604,18604,8,208000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18605,18605,8,209000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18606,18606,8,210000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18607,18607,8,216000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18608,18608,8,297000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18901,18901,8,217000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18902,18902,8,205000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18903,18903,8,206000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18904,18904,8,218000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19001,19001,8,211000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19002,19002,8,202000080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19003,19003,8,203000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19004,19004,8,290000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19101,19101,8,216000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19102,19102,8,202000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19103,19103,8,203000120,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19104,19104,8,206000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19201,19201,8,209000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19202,19202,8,205000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19203,19203,8,215000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19204,19204,8,220000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19205,19205,8,204000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19206,19206,8,206000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19207,19207,8,201000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19208,19208,8,216000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19209,19209,8,290000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19210,19210,8,202000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19211,19211,8,203000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19212,19212,8,209000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19213,19213,8,297000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19214,19214,8,297000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19301,19301,1,104000340,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19302,19302,1,107000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19303,19303,1,109000270,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19304,19304,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19305,19305,2,105000004,1,0,202700,50,0,204700,1,0,2,0,0,2,0,0
19306,19306,2,101000014,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19307,19307,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19308,19308,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19309,19309,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19310,19310,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19311,19311,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19701,19701,1,111000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19702,19702,1,106000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19703,19703,1,109000260,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19704,19704,1,110000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19705,19705,2,101000012,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19706,19706,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
19707,19707,2,101000014,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19708,19708,2,107000004,1,0,205600,0,0,1,0,0,2,0,0,2,0,0
19709,19709,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19710,19710,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19711,19711,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19712,19712,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19713,19713,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19801,19801,1,103000290,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19802,19802,1,104000350,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19803,19803,2,101000018,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19804,19804,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19805,19805,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19806,19806,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19807,19807,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19808,19808,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19809,19809,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19901,19901,1,102000330,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19902,19902,1,109000280,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19903,19903,2,102000009,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19904,19904,2,101000014,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19905,19905,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19906,19906,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19907,19907,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19908,19908,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19909,19909,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20001,20001,8,201000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20002,20002,8,202000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20003,20003,8,211000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20004,20004,8,212000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20005,20005,8,290000100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20101,20101,8,209000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20102,20102,8,201000100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20103,20103,8,202000180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20104,20104,8,203000170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20201,20201,8,202000190,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20202,20202,8,211000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20203,20203,8,203000180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20204,20204,8,204000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20205,20205,8,209000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20301,20301,8,218000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20302,20302,8,204000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20303,20303,8,206000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20304,20304,8,215000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20401,20401,8,290000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20402,20402,8,202000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20403,20403,8,204000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20404,20404,8,205000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20405,20405,8,206000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20406,20406,8,203000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20407,20407,8,209000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20408,20408,8,215000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20501,20501,8,297000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20502,20502,8,211000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20503,20503,8,297000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20504,20504,8,202000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20505,20505,8,290000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20506,20506,8,297000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20507,20507,8,212000010,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20508,20508,8,297000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20601,20601,8,205000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20602,20602,8,290000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20603,20603,8,206000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20604,20604,8,220000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20605,20605,8,203000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20606,20606,8,209000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20607,20607,8,203000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20608,20608,8,204000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20609,20609,8,208000020,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20610,20610,8,216000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20801,20801,1,103000320,1,0,1,0,0,1,0,0,2,0,0,2,0,0
20802,20802,1,104000380,1,0,1,0,0,1,0,0,2,0,0,2,0,0
20803,20803,1,111000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
20804,20804,2,101000015,1,0,207100,0,0,1,0,0,2,0,0,2,0,0
20805,20805,2,102000008,1,0,204300,50,0,1,0,0,2,0,0,2,0,0
20806,20806,2,109000008,1,0,204100,0,0,1,0,0,2,0,0,2,0,0
20807,20807,2,112000008,1,0,305000,100,0,305400,0,0,2,0,0,2,0,0
20808,20808,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20809,20809,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20810,20810,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20811,20811,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21301,21301,1,102000240,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21302,21302,1,105000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21303,21303,1,109000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21304,21304,2,102000008,1,0,204300,50,0,1,0,0,2,0,0,2,0,0
21305,21305,2,109000008,1,0,204100,0,0,1,0,0,2,0,0,2,0,0
21306,21306,2,101000015,1,0,207100,0,0,1,0,0,2,0,0,2,0,0
21307,21307,2,112000008,1,0,305000,100,0,305400,0,0,2,0,0,2,0,0
21308,21308,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21309,21309,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21310,21310,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21311,21311,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21401,21401,1,102000380,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21402,21402,1,104000390,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21403,21403,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21404,21404,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21405,21405,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21406,21406,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21407,21407,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21408,21408,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21409,21409,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21501,21501,1,104000200,1,0,100900,50,0,101000,50,0,2,0,0,2,0,0
21502,21502,1,106000170,1,0,100900,50,0,101000,50,0,2,0,0,2,0,0
21503,21503,1,111000100,1,0,100900,50,0,101000,50,0,2,0,0,2,0,0
21504,21504,2,111000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21505,21505,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
21506,21506,2,101000012,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21507,21507,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21508,21508,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21509,21509,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21510,21510,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21511,21511,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21601,21601,1,102000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21602,21602,1,109000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21603,21603,1,103000200,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21604,21604,1,111000110,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21605,21605,1,105000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21606,21606,1,106000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21607,21607,1,109000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21608,21608,1,112000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21609,21609,1,101000170,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21610,21610,1,101000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21611,21611,1,102000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21612,21612,1,105000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21613,21613,1,106000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21614,21614,1,111000200,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21615,21615,1,109000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21616,21616,1,102000200,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21617,21617,1,105000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21618,21618,1,106000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
21801,21801,8,202000200,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21802,21802,8,203000190,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21803,21803,8,204000150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21804,21804,8,209000150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21901,21901,8,215000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21902,21902,8,202000210,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21903,21903,8,205000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21904,21904,8,220000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22001,22001,8,204000160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22002,22002,8,201000110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22003,22003,8,202000220,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22004,22004,8,206000160,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22101,22101,1,101000320,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22102,22102,1,111000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22103,22103,1,112000150,1,0,111500,0,0,1,0,0,2,0,0,2,0,0
22104,22104,2,101000013,1,0,204200,5,0,1,0,0,2,0,0,2,0,0
22105,22105,2,101000012,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22106,22106,2,101000011,1,0,209900,30,0,1,0,0,2,0,0,2,0,0
22107,22107,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22108,22108,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22109,22109,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22110,22110,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22111,22111,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22201,22201,1,102000440,1,0,100900,100,0,107900,0,0,2,0,0,2,0,0
22202,22202,1,103000340,1,0,100900,100,0,107900,0,0,2,0,0,2,0,0
22203,22203,1,109000340,1,0,100900,100,0,107900,0,0,2,0,0,2,0,0
22204,22204,1,110000200,1,0,100900,100,0,107900,0,0,2,0,0,2,0,0
22205,22205,1,118000120,1,0,100900,100,0,107900,0,0,2,0,0,2,0,0
22206,22206,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22207,22207,2,101000017,1,0,202500,50,0,1,0,0,2,0,0,2,0,0
22208,22208,2,101000014,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22209,22209,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
22210,22210,2,101000016,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22211,22211,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22212,22212,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22213,22213,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22214,22214,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22215,22215,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22801,22801,1,101000240,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22802,22802,1,102000250,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22803,22803,1,103000210,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22804,22804,1,109000210,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22805,22805,1,104000240,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22806,22806,1,105000200,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22807,22807,1,106000200,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22808,22808,1,108000140,1,0,107800,2019,0,1,0,0,2,0,0,2,0,0
22809,22809,2,107000007,1,0,207700,0,0,1,0,0,2,0,0,2,0,0
22810,22810,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22811,22811,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22812,22812,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22813,22813,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
22814,22814,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23201,23201,1,101000350,1,0,102200,10,0,1,0,0,2,0,0,2,0,0
23202,23202,1,106000300,1,0,102200,10,0,1,0,0,2,0,0,2,0,0
23203,23203,2,101000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
23204,23204,2,103000007,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23205,23205,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
23206,23206,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23207,23207,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23208,23208,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23209,23209,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23301,23301,1,101000330,1,0,111500,0,0,1,0,0,2,0,0,2,0,0
23302,23302,1,102000420,1,0,111500,0,0,1,0,0,2,0,0,2,0,0
23303,23303,2,101000009,1,0,204000,5,0,1,0,0,2,0,0,2,0,0
23304,23304,2,102000009,1,0,1,0,0,1,0,0,2,0,0,2,0,0
23305,23305,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
23306,23306,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23307,23307,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23308,23308,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23309,23309,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23401,23401,8,205000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23402,23402,8,204000180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23403,23403,8,206000180,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23404,23404,8,209000170,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23501,23501,8,203000210,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23502,23502,8,204000190,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23503,23503,8,215000080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23504,23504,8,217000040,1,0,1,0,0,1,0,0,1,0,0,1,0,0
