SupportLogId,CharaId,Name,Rarity,SupportLogTypeId,SalePrice,CompositionExp,AwakeningExp,UseRank,GroupNo,AdaptableAppearAppend,PunisherAppearAppend,State,PassiveState,PowerDefaultValue,CltDefaultValue,Awakening1Power,Awakening1Clt,Awakening2Power,Awakening2Clt,Awakening3Power,Awakening3Clt,Awakening4Power,Awakening4Clt,Awakening5Power,Awakening5Clt,NormalLeader,HoloLeader,UiDisplayPowerTitle,UiDisplayPowerContent,Prefab,CutinMode,SkillVoiceId,SkillName,NameInSkillCutin,SkillText,SkillTextInSkillCutin,CharaInfo,CutinImage,CutinImageAwake,StatusCharaIcon,StatusCharaIconAwake,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag,DateVersionId,
292000010,999,"《飄逸な策略家》クリスハイト",1,1,100,1500,100,1,0,0,0,"s292000010",,30,75,30,70,35,70,35,65,40,65,40,60,10,20,"耐久値回復量","{0}%","skill_3_2line_moji86","un_2line_moji86","CH_KIK_SUP_003","エンドレスワーキング","エンドレス〇〇〇〇〇ワーキング","戦闘不能状態のメンバーを1人<br>復帰させ、自パーティのINTを<br>10秒間70％上昇させる。<br>覚醒で復帰時の回復量が上昇。","戦闘不能状態のメンバー1人復帰＋自パーティのINT上昇","政府の役人、菊岡誠二郎の<br>《ALO》におけるアバター。<br>キリト達パーティにとっては<br>貴重なメイジ役。","slog_292000010","slog_292000010","Chara_icon/292000010","Chara_icon/292000010","2019/01/01",True,"1",
202000020,999,"《風雅なる舞踊家》アスナ",5,2,1600,20000,100,1,0,0,0,"s202000020",,50,185,60,169,70,153,80,145,85,137,90,129,10,20,"ボーナス増加量","{0}%","skill_3_1line_mojix6","un_1line_mojix6","CH_ASU_SUP_012","花鳥風月・花","花鳥風月・花","50秒間、ファーストアタックで<br>得られるボーナスポイントが<br>増加する。<br>覚醒で増加量が上昇。","ファーストアタックで得られるボーナスポイント量上昇","和装防具を入手したので早速<br>着てみたとのこと。祖父母家が<br>京都にあることもあってか、<br>舞踊の腕も見事の一言である。","slog_202000020","slog_202000020","Chara_icon/202000020","Chara_icon/202000020","2019/01/01",True,"1",
290000020,999,"《まねっこ舞踊家》ユイ",4,1,800,15000,100,1,0,0,0,"s290000020",,45,100,50,88,55,82,60,76,65,70,70,64,10,20,"耐久値回復量","{0}%","skill_3_1line_mojix6","un_1line_mojix6","CH_YUI_SUP_012","花鳥風月・鳥","花鳥風月・鳥","戦闘不能状態のメンバーを2人<br>復帰させ、レコードメダルの位置<br>を30秒間ミニマップに表示。<br>覚醒で復帰時の回復量が上昇。","戦闘不能状態のメンバー2人復帰＋レコードメダルサーチ","和装防具を入手したので早速<br>着てみたとのこと。アスナと<br>共に練習したという舞は、見る者<br>皆の心を温かくする。","slog_290000020","slog_290000020","Chara_icon/290000020","Chara_icon/290000020","2019/01/01",True,"1",
203000010,999,"《麗傘の武人》直葉",5,2,1600,20000,100,1,0,0,0,"s203000010",,30,210,34,202,38,194,40,190,42,186,44,182,5,10,"効果時間","{0}秒","skill_3_1line_mojix6","un_1line_mojix6","CH_LEA_SUP_012","花鳥風月・風","花鳥風月・風","リーグポイントの獲得量が<br>45％増加する。<br>覚醒で効果時間が延長。","リーグポイントの獲得量上昇","和装防具を入手したので早速<br>着てみたとのこと。竹刀を傘に<br>持ち替えて舞う姿は、勇猛で<br>ありながら美しい。<br>","slog_203000010","slog_203000010","Chara_icon/203000010","Chara_icon/203000010","2019/01/01",True,"1",
204000010,999,"《番傘の佳人》シノン",4,2,800,15000,100,1,0,0,0,"s204000010",,60,155,65,145,70,140,75,135,80,130,82,125,10,20,"ボーナス増加量","{0}%","skill_3_1line_mojix6","un_1line_mojix6","CH_SIN_SUP_012","花鳥風月・月","花鳥風月・月","30秒間、ファーストアタックで<br>得られるボーナスポイントが<br>増加する。<br>覚醒で増加量が上昇。","ファーストアタックで得られるボーナスポイント量上昇","和装防具を入手したので早速<br>着てみたとのこと。番傘を携え<br>優雅に佇む彼女。その美しさに<br>みなが目を奪われる。","slog_204000010","slog_204000010","Chara_icon/204000010","Chara_icon/204000010","2019/01/01",True,"1",
298000010,999,"《英雄の絆》キリト＆アスナ",5,3,1600,20000,100,1,0,0,0,"s298000010",,60,165,70,151,80,137,85,130,90,123,95,116,10,20,"攻撃力上昇量","{0}%","skill_3_2line_moji86","un_2line_moji86","CH_SUP_SUP_001","トラスト・チャージ","トラスト・〇〇〇〇〇〇チャージ","前方へ非常に強力な剣撃を放ち、<br>敵に大ダメージを与える。<br>覚醒で攻撃力が上昇。","前方へ非常に強力な剣撃を放つ","攻略最前線において、互いを高め<br>あい絆を深めていった2人。その<br>絆の力こそが《SAO》をクリア<br>するための糧となった。","slog_298000010","slog_298000010","Chara_icon/298000010","Chara_icon/298000010","2019/01/01",True,"1",
298000020,999,"《天空の対影》キリト＆リーファ",4,2,800,15000,100,1,0,0,0,"s298000020",,12,90,14,80,16,75,17,70,18,65,19,60,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_SUP_SUP_002","ベンチャーブースト","ベンチャー〇〇〇〇〇〇ブースト","レコードメダルとグリードの位置<br>をミニマップに表示、自パーティ<br>の移動速度を上昇させる。<br>覚醒で効果時間が延長。","レコードメダル＆グリードサーチ発動＋移動速度上昇","《ALO》において空を駆ける<br>2人に追いつける者は互いの他に<br>誰もいない。その姿は流星の如く<br>二つの影を残すのみ。","slog_298000020","slog_298000020","Chara_icon/298000020","Chara_icon/298000020","2019/01/01",True,"1",
298000030,999,"《戦閃の双撃》リズベット＆シリカ",3,2,400,10000,100,3,0,0,0,"s298000030",,100,115,100,110,110,105,120,100,130,95,140,90,10,20,"STR上昇量","{0}%","skill_3_2line_moji86","un_2line_moji86","CH_SUP_SUP_003","ネバー・ギブアップ！","ネバー・〇〇〇〇〇〇ギブアップ！","【獲得ポイントが3位の時のみ<br>発動可能】60秒間、自パーティ<br>のSTRを上昇させる。<br>覚醒で上昇量が増加。","【発動条件・3位】自パーティのSTR上昇","気が合う2人は行動を共にする<br>ことも多く、コンビネーションも<br>お手の物だ。《ALO》では仲良く<br>クエスト攻略に勤しんでいる。","slog_298000030","slog_298000030","Chara_icon/298000030","Chara_icon/298000030","2019/01/01",True,"1",
298000040,999,"《愛心の絆》ユウキ＆アスナ",4,2,800,15000,100,1,0,0,0,"s298000040",,30,180,34,172,36,168,38,164,40,160,42,156,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_SUP_SUP_004","ロザリアハーモニー","ロザリア〇〇〇〇〇〇〇ハーモニー","リーグポイントの獲得量を<br>35％増加させる。<br>覚醒で効果時間が延長。","リーグポイントの獲得量上昇","2人が互いに対して抱く気持ちは<br>友情とも親愛とも一概には<br>言い切れない、何物にも代えられ<br>ない唯一無二の絆なのだろう。","slog_298000040","slog_298000040","Chara_icon/298000040","Chara_icon/298000040","2019/01/01",True,"1",
298000050,999,"《双麗の英剣》ストレア＆フィリア",3,1,400,10000,100,1,0,0,0,"s298000050",,60,145,60,140,65,135,70,130,75,125,80,120,10,20,"耐久値回復量","{0}%","skill_3_2line_moji86","un_2line_moji86",,"リライアンス・バディ","リライアンス〇〇〇〇〇〇・バディ","自パーティの耐久値と状態異常を<br>回復し、移動速度を30秒間上昇<br>させる。<br>覚醒で回復量が上昇。","自パーティの耐久値と状態異常を回復＋移動速度上昇","キリトによって救われた彼女たち<br>は、今度はキリトのためにその<br>剣を振るう。今や無くてはなら<br>ない2人の仲間の勇姿だ。","slog_298000050","slog_298000050","Chara_icon/298000050","Chara_icon/298000050","2019/01/01",True,"1",
298000060,999,"《天響の歌声》セブン＆レイン",3,3,400,10000,100,1,0,0,0,"s298000060",,2,125,2,122,3,119,3,116,4,113,4,110,1,2,"召喚体数","{0}体","skill_3_2line_moji86","un_2line_moji86",,"アイドリング・フラッシュ！","アイドリング・〇〇〇フラッシュ！","幻影グリードを召喚し他パーティ<br>の注意を引き、グリードの位置を<br>10秒間ミニマップに表示。<br>覚醒で幻影グリードの数が増加。","グリードの幻影を召喚＋グリードサーチ発動","アイドル活動を行うセブンと、<br>アイドルを夢見るレイン。<br>夢を叶え共演する姉妹の歌声は<br>遠く高く、天までも響き渡る。","slog_298000060","slog_298000060","Chara_icon/298000060","Chara_icon/298000060","2019/01/01",True,"1",
299000010,999,"《騎士の矜持》ディアベル",2,2,200,5000,100,1,0,0,0,"s299000010",,40,110,40,104,50,104,50,98,60,92,65,86,10,20,"ボーナス増加量","{0}%","skill_3_2line_moji86","un_2line_moji86",,"プライド・オブ・ナイト","プライド・〇〇〇〇〇オブ・ナイト","20秒間、ラストアタックで<br>得られるボーナスポイントが<br>増加する。<br>覚醒で増加量が上昇。","ラストアタックで得られるボーナスポイント量上昇","ジョブ制の無い《SAO》において<br>ナイトを名乗る青年。<br>そのカリスマ性で第1層クリアに<br>貢献し、大きな影響を残した。","slog_299000010","slog_299000010","Chara_icon/299000010","Chara_icon/299000010","2019/01/01",True,"1",
299000020,999,"《ナニワの継承者》キバオウ",2,3,200,5000,100,1,0,0,0,"s299000020",,20,120,20,114,25,114,25,108,30,102,30,96,5,10,"召喚増強レベル","{0}レベル","skill_3_2line_moji86","un_2line_moji86",,"ちょお待ってんか！","ちょお〇〇〇〇〇〇〇待ってんか！","アインクラッド解放隊員風のやや強い亜人系Mobを5体召喚し、<br>戦闘支援を受ける。覚醒で<br>召喚Mobのレベルが増強。","お助けMob【亜人系】を召喚","関西弁が目立つ《SAO》の名物プ<br>レイヤー。第1層で命を落とした<br>彼の矜持も受け継ぎ、アインク<br>ラッド低層の攻略に尽力した。","slog_299000020","slog_299000020","Chara_icon/299000020","Chara_icon/299000020","2019/01/01",True,"1",
299000030,999,"《鉄壁の聖騎士》ヒースクリフ",3,2,400,10000,100,1,0,0,0,"s299000030",,30,150,30,145,35,140,35,135,40,130,42,125,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"オブソリュート・ディフェンス","オブソリュート〇〇・ディフェンス","耐久値が50％を超えて減らなく<br>なる。既に50％以下ならば<br>それ以上減らなくなる。<br>覚醒で効果時間が延長。","スキル発動中、耐久値が5割を超えて減らなくなる","《SAO》最強との呼び声高い<br>攻略ギルド《血盟騎士団》の長。<br>ユニークスキル《神聖剣》を持ち<br>《聖騎士》の異名で呼ばれる。","slog_299000030","slog_299000030","Chara_icon/299000030","Chara_icon/299000030","2019/01/01",True,"1",
299000040,999,"《執念の護衛》クラディール",1,2,100,1500,100,1,0,0,0,"s299000040",,40,90,40,85,45,85,45,80,50,80,50,75,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"オーバーガーディアン","オーバー〇〇〇〇〇〇ガーディアン","自パーティのVITが<br>250％上昇する。<br>覚醒で効果時間が延長。<br>【アスナのみ効果が2倍】","【効果上昇・アスナ】自パーティのVIT上昇","ギルド《血盟騎士団》において<br>副団長であるアスナの護衛任務に<br>就いていた人物。そのアスナへの<br>執着心は危険なほど。","slog_299000040","slog_299000040","Chara_icon/299000040","Chara_icon/299000040","2019/01/01",True,"1",
299000050,999,"《老巧の釣り師》ニシダ",1,3,100,1500,100,1,0,0,0,"s299000050",,1,60,1,55,2,55,2,50,3,50,3,45,1,2,"ドロップ数","{0}個","skill_3_2line_moji86","un_2line_moji86",,"ベテランフィッシャー","ベテラン〇〇〇〇〇〇フィッシャー","ランダムで敵モンスターを1体<br>釣り上げる。<br>覚醒でスキルポーションの<br>ドロップ数が増加。","ランダムで敵モンスターを召喚","アインクラッド第22層コラル<br>郊外の湖を拠点に釣りを楽しむ<br>男性。《SAO》の回線保守責任者<br>で仕事の確認中に巻き込まれた。","slog_299000050","slog_299000050","Chara_icon/299000050","Chara_icon/299000050","2019/01/01",True,"1",
299000060,999,"《悪夢の扇動者》PoH",3,3,400,10000,100,3,0,0,0,"s299000060",,1,125,1,120,2,115,2,110,3,105,3,100,1,2,"ドロップ数","{0}個","skill_3_1line_mojix6","un_1line_mojix6",,"ショータイム","ショータイム","【獲得ポイントが3位の時のみ発動可能】グリードを2体召喚。<br>覚醒でスキルポーションの<br>ドロップ数が増加。","【発動条件・3位】グリードを召喚","《SAO》で暗躍する殺人ギルド<br>《ラフィン・コフィン》の<br>リーダー。他者を扇動し混乱を<br>巻き起こす手口を得意とする。","slog_299000060","slog_299000060","Chara_icon/299000060","Chara_icon/299000060","2019/01/01",True,"1",
299000070,999,"《赤眼の狂気》ザザ",1,3,100,1500,100,1,0,0,0,"s299000070",,1,90,1,85,2,85,2,80,3,80,3,75,1,2,"ドロップ数","{0}個","skill_3_2line_moji86","un_2line_moji86",,"コール・ミニオンズ","コール・〇〇〇〇〇〇ミニオンズ","ラフィン・コフィンの微力な<br>下位メンバーを5体召喚する。<br>覚醒でスキルポーションの<br>ドロップ数が増加。","敵Mob【ラフィン・コフィン】を召喚","《SAO》で暗躍する殺人ギルド<br>《ラフィン・コフィン》の幹部。<br>キリトに対して深い憎しみを抱く<br>エストック使い。","slog_299000070","slog_299000070","Chara_icon/299000070","Chara_icon/299000070","2019/01/01",True,"1",
299000080,999,"《タイタンズハンド》ロザリア",1,3,100,1500,100,1,0,0,0,"s299000080",,10,90,10,85,15,85,15,80,20,80,20,75,5,10,"召喚増強レベル","{0}レベル","skill_3_2line_moji86","un_2line_moji86",,"サポート・ミニオンズ","サポート・〇〇〇〇〇〇ミニオンズ","微力な獣人系Mobを5体召喚し<br>戦闘支援を受ける。<br>覚醒で召喚Mobのレベルが<br>増強。","お助けMob【獣人系】を召喚","《SAO》で犯罪に手を染めていた<br>オレンジギルド《タイタンズ<br>ハンド》のリーダー。キリトに<br>よって監獄エリアに送られた。","slog_299000080","slog_299000080","Chara_icon/299000080","Chara_icon/299000080","2019/01/01",True,"1",
299000090,999,"《聡明なる領主》サクヤ",1,1,100,1500,100,1,0,0,0,"s299000090",,15,75,15,70,20,70,20,65,25,65,25,60,10,20,"耐久値回復量","{0}%","skill_3_2line_moji86","un_2line_moji86",,"ソリッドロード","ソリッドロード","戦闘不能状態のメンバーを1人<br>復帰させ、自パーティのVITを<br>30秒間250％上昇させる。<br>覚醒で復帰時の回復量が上昇。","戦闘不能状態のメンバー1人復帰＋自パーティのVIT上昇","《ALO》においてシルフ領を治め<br>ている領主。剣の名手でもあり、<br>プレイヤー間での信頼も厚い<br>名領主として知られる。","slog_299000090","slog_299000090","Chara_icon/299000090","Chara_icon/299000090","2019/01/01",True,"1",
299000100,999,"《朗らかな領主》アリシャ",1,3,100,1500,100,1,0,0,0,"s299000100",,10,90,10,85,15,85,15,80,20,80,20,75,5,10,"召喚増強レベル","{0}レベル","skill_3_2line_moji86","un_2line_moji86",,"ドラグーンコープス","ドラグーン〇〇〇〇〇〇コープス","やや強い飛竜系Mobを2体<br>召喚し、戦闘支援を受ける。<br>覚醒で召喚Mobのレベルが<br>増強。","お助けMob【飛竜系】を召喚","《ALO》においてケットシー領を<br>治めている領主。サクヤとは古い<br>友人。巨大な竜を操り戦う<br>《竜騎士隊》を率いる。","slog_299000100","slog_299000100","Chara_icon/299000100","Chara_icon/299000100","2019/01/01",True,"1",
299000110,999,"《炎熱の武者》ユージーン",1,3,100,1500,100,1,0,0,0,"s299000110",,30,85,30,80,35,80,35,75,40,75,40,70,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"エアリアルシフト","エアリアルシフト","周囲にいる敵モンスターの<br>VITを30％低下させる。<br>覚醒で効果時間が延長。","敵モンスターのVIT低下","《ALO》のサラマンダー領領主の<br>弟にして、全プレイヤー中最強と<br>目される男。伝説級武器《魔剣<br>グラム》の持ち主。","slog_299000110","slog_299000110","Chara_icon/299000110","Chara_icon/299000110","2019/01/01",True,"1",
299000120,999,"《ひたむきな慕情》レコン",1,3,100,1500,100,1,0,0,0,"s299000120",,10,35,10,33,12,33,12,31,14,31,14,29,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"ブレイブリーステルス","ブレイブリー〇〇〇〇〇ステルス","攻撃を受けるまで敵に感知されず<br>他パーティのミニマップ上からも<br>見えなくなる。<br>覚醒で効果時間が延長。","攻撃を受けるまでハイディング状態","リーファの友人の少年。リアルで<br>は直葉のクラスメイトであり、<br>《ALO》を紹介した。彼女に淡い<br>想いを抱いているようだ。","slog_299000120","slog_299000120","Chara_icon/299000120","Chara_icon/299000120","2019/01/01",True,"1",
299000130,999,"《尊大な自尊心》シグルド",1,3,100,1500,100,1,0,0,0,"s299000130",,10,90,10,85,15,85,15,80,20,80,20,75,5,10,"召喚増強レベル","{0}レベル","skill_3_2line_moji86","un_2line_moji86",,"サポート・ミニオンズ","サポート・〇〇〇〇〇ミニオンズ","微力な骸霊系Mobを4体召喚し<br>戦闘支援を受ける。<br>覚醒で召喚Mobのレベルが<br>増強。","お助けMob【骸霊系】を召喚","リーファとレコンが一時期所属<br>していたパーティのメンバー。<br>シルフ領の幹部だったが、不正が<br>発覚し領地を追放された。","slog_299000130","slog_299000130","Chara_icon/299000130","Chara_icon/299000130","2019/01/01",True,"1",
299000140,999,"《仮初の妖精王》オベイロン",1,3,100,1500,100,1,0,0,0,"s299000140",,4,60,4,50,6,50,6,40,8,40,8,30,1,2,"召喚体数","{0}体","skill_3_2line_moji86","un_2line_moji86",,"ジャミングスラッグ","ジャミング〇〇〇〇〇〇スラッグ","微力な研究員Mobを他パーティ<br>それぞれのそばに召喚する。<br>覚醒で研究員Mobの召喚数が<br>増加。","敵Mob【研究員】を他パーティのそばに召喚","《ALO》のシンボルである世界樹<br>頂上で待ち構える妖精王。しかし<br>その実、《SAO生還者》を幽閉し<br>違法研究を行っていた。","slog_299000140","slog_299000140","Chara_icon/299000140","Chara_icon/299000140","2019/01/01",True,"1",
299000150,999,"《結ばれる縁》ルクス",2,2,200,5000,100,1,0,0,0,"s299000150",,40,100,40,94,45,88,45,82,50,76,52,70,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"ディフェンシブ・ソード","ディフェンシブ〇〇〇〇〇・ソード","自パーティのVITを200％<br>上昇させるとともに、<br>状態異常を回復する。<br>覚醒で効果時間が延長。","自パーティのVIT上昇＋状態異常を回復","シリカ達が《ALO》で出会った<br>少女。キリトに憧れ、片方の剣を<br>盾のように使用する変則的な二刀<br>流を扱う。","slog_299000150","slog_299000150","Chara_icon/299000150","Chara_icon/299000150","2019/01/01",True,"1",
299000160,999,"《誇り高き紫花》キズメル",1,2,100,1500,100,1,0,0,0,"s299000160",,30,75,30,70,35,70,35,65,40,65,40,60,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"ダークエルフガーディアン","ダークエルフ〇〇〇〇ガーディアン","自パーティのVITが<br>300％上昇する。<br>覚醒で効果時間が延長。","自パーティのVIT上昇","キリトとアスナがアインクラッド<br>下層で冒険を共にしたダークエル<br>フ族の戦士。NPCだが、人間と<br>見紛うほど感情豊か。","slog_299000160","slog_299000160","Chara_icon/299000160","Chara_icon/299000160","2019/01/01",True,"1",
299000170,999,"《忍び寄る凶刺》死銃",3,3,400,10000,100,1,0,0,0,"s299000170",,12,90,12,85,14,80,14,75,15,70,16,65,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"メタマテリアルオプチカル・カモ","メタマテリアル〇オプチカル・カモ","敵に感知されず、他パーティの<br>ミニマップ上からも見えなくなり<br>移動速度も上昇する。<br>覚醒で効果時間が延長。","ハイディング＋移動速度上昇","《GGO》に現れた殺人鬼。キリト<br>に並々ならぬ憎しみを抱く。<br>狙撃はもちろん、刺剣の扱いも<br>得意とする。","slog_299000170","slog_299000170","Chara_icon/299000170","Chara_icon/299000170","2019/01/01",True,"1",
